pathway	circuit	effector_node	node	node_name	gene	symbol	rel_eff
hsa03320	P-hsa03320-37	N-hsa03320-37	N-hsa03320-37	HMGCS2	3158	HMGCS2	1
hsa03320	P-hsa03320-37	N-hsa03320-37	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-37	N-hsa03320-37	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-37	N-hsa03320-37	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-37	N-hsa03320-37	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-61	N-hsa03320-61	N-hsa03320-61	APOA1	335	APOA1	1
hsa03320	P-hsa03320-61	N-hsa03320-61	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-61	N-hsa03320-61	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-61	N-hsa03320-61	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-61	N-hsa03320-61	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-46	N-hsa03320-46	N-hsa03320-46	APOA2	336	APOA2	1
hsa03320	P-hsa03320-46	N-hsa03320-46	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-46	N-hsa03320-46	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-46	N-hsa03320-46	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-46	N-hsa03320-46	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-57	N-hsa03320-57	N-hsa03320-57	APOC3	345	APOC3	1
hsa03320	P-hsa03320-57	N-hsa03320-57	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-57	N-hsa03320-57	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-57	N-hsa03320-57	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-57	N-hsa03320-57	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-64	N-hsa03320-64	N-hsa03320-64	APOA5	116519	APOA5	1
hsa03320	P-hsa03320-64	N-hsa03320-64	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-64	N-hsa03320-64	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-64	N-hsa03320-64	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-64	N-hsa03320-64	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-47	N-hsa03320-47	N-hsa03320-47	PLTP	5360	PLTP	1
hsa03320	P-hsa03320-47	N-hsa03320-47	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-47	N-hsa03320-47	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-47	N-hsa03320-47	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-47	N-hsa03320-47	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-65	N-hsa03320-65	N-hsa03320-65	ME1	4199	ME1	1
hsa03320	P-hsa03320-65	N-hsa03320-65	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-65	N-hsa03320-65	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-65	N-hsa03320-65	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-65	N-hsa03320-65	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-55	SCD	6319	SCD	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-55	SCD	79966	SCD5	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-18 19	PPARG RXRA	5468	PPARG	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-18 19	PPARG RXRA	6256	RXRA	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-18 19	PPARG RXRA	6257	RXRB	1
hsa03320	P-hsa03320-55	N-hsa03320-55	N-hsa03320-18 19	PPARG RXRA	6258	RXRG	1
hsa03320	P-hsa03320-56	N-hsa03320-56	N-hsa03320-56	FADS2	9415	FADS2	1
hsa03320	P-hsa03320-56	N-hsa03320-56	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-56	N-hsa03320-56	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-56	N-hsa03320-56	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-56	N-hsa03320-56	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-33	N-hsa03320-33	N-hsa03320-33	CYP7A1	1581	CYP7A1	1
hsa03320	P-hsa03320-33	N-hsa03320-33	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-33	N-hsa03320-33	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-33	N-hsa03320-33	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-33	N-hsa03320-33	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-58	N-hsa03320-58	N-hsa03320-58	CYP8B1	1582	CYP8B1	1
hsa03320	P-hsa03320-58	N-hsa03320-58	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-58	N-hsa03320-58	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-58	N-hsa03320-58	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-58	N-hsa03320-58	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-59	NR1H3	10062	NR1H3	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-18 19	PPARG RXRA	5468	PPARG	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-18 19	PPARG RXRA	6256	RXRA	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-18 19	PPARG RXRA	6257	RXRB	1
hsa03320	P-hsa03320-59	N-hsa03320-59	N-hsa03320-18 19	PPARG RXRA	6258	RXRG	1
hsa03320	P-hsa03320-63	N-hsa03320-63	N-hsa03320-63	DBI	1622	DBI	1
hsa03320	P-hsa03320-63	N-hsa03320-63	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-63	N-hsa03320-63	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-63	N-hsa03320-63	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-63	N-hsa03320-63	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-44	N-hsa03320-44	N-hsa03320-44	FABP1	2168	FABP1	1
hsa03320	P-hsa03320-44	N-hsa03320-44	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-44	N-hsa03320-44	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-44	N-hsa03320-44	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-44	N-hsa03320-44	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-36	SLC27A4	10999	SLC27A4	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-36	SLC27A4	376497	SLC27A1	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-18 19	PPARG RXRA	5468	PPARG	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-18 19	PPARG RXRA	6256	RXRA	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-18 19	PPARG RXRA	6257	RXRB	1
hsa03320	P-hsa03320-36	N-hsa03320-36	N-hsa03320-18 19	PPARG RXRA	6258	RXRG	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-30	LPL	4023	LPL	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-16 17	PPARD RXRA	5467	PPARD	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-16 17	PPARD RXRA	6256	RXRA	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-16 17	PPARD RXRA	6257	RXRB	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-16 17	PPARD RXRA	6258	RXRG	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-18 19	PPARG RXRA	5468	PPARG	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-18 19	PPARG RXRA	6256	RXRA	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-18 19	PPARG RXRA	6257	RXRB	1
hsa03320	P-hsa03320-30	N-hsa03320-30	N-hsa03320-18 19	PPARG RXRA	6258	RXRG	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	2180	ACSL1	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	2181	ACSL3	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	2182	ACSL4	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	23205	ACSBG1	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	23305	ACSL6	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	51703	ACSL5	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-28	ACSL1	81616	ACSBG2	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-14 15	PPARA RXRA	6258	RXRG	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-18 19	PPARG RXRA	5468	PPARG	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-18 19	PPARG RXRA	6256	RXRA	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-18 19	PPARG RXRA	6257	RXRB	1
hsa03320	P-hsa03320-28	N-hsa03320-28	N-hsa03320-18 19	PPARG RXRA	6258	RXRG	1
hsa03320	P-hsa03320-25	N-hsa03320-25	N-hsa03320-25	EHHADH	1962	EHHADH	1
hsa03320	P-hsa03320-25	N-hsa03320-25	N-hsa03320-14 15	PPARA RXRA	5465	PPARA	1
hsa03320	P-hsa03320-25	N-hsa03320-25	N-hsa03320-14 15	PPARA RXRA	6256	RXRA	1
hsa03320	P-hsa03320-25	N-hsa03320-25	N-hsa03320-14 15	PPARA RXRA	6257	RXRB	1
