pathway	circuit	circuit_name	gene	symbol	eff_node	eff_gene
hsa03320	P-hsa03320-37	PPAR signaling pathway: HMGCS2	5465	PPARA	NA	NA
hsa03320	P-hsa03320-37	PPAR signaling pathway: HMGCS2	6256	RXRA	NA	NA
hsa03320	P-hsa03320-37	PPAR signaling pathway: HMGCS2	6257	RXRB	NA	NA
hsa03320	P-hsa03320-37	PPAR signaling pathway: HMGCS2	6258	RXRG	NA	NA
hsa03320	P-hsa03320-37	PPAR signaling pathway: HMGCS2	3158	HMGCS2	HMGCS2	HMGCS2
hsa03320	P-hsa03320-61	PPAR signaling pathway: APOA1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-61	PPAR signaling pathway: APOA1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-61	PPAR signaling pathway: APOA1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-61	PPAR signaling pathway: APOA1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-61	PPAR signaling pathway: APOA1	335	APOA1	APOA1	APOA1
hsa03320	P-hsa03320-46	PPAR signaling pathway: APOA2	5465	PPARA	NA	NA
hsa03320	P-hsa03320-46	PPAR signaling pathway: APOA2	6256	RXRA	NA	NA
hsa03320	P-hsa03320-46	PPAR signaling pathway: APOA2	6257	RXRB	NA	NA
hsa03320	P-hsa03320-46	PPAR signaling pathway: APOA2	6258	RXRG	NA	NA
hsa03320	P-hsa03320-46	PPAR signaling pathway: APOA2	336	APOA2	APOA2	APOA2
hsa03320	P-hsa03320-57	PPAR signaling pathway: APOC3	5465	PPARA	NA	NA
hsa03320	P-hsa03320-57	PPAR signaling pathway: APOC3	6256	RXRA	NA	NA
hsa03320	P-hsa03320-57	PPAR signaling pathway: APOC3	6257	RXRB	NA	NA
hsa03320	P-hsa03320-57	PPAR signaling pathway: APOC3	6258	RXRG	NA	NA
hsa03320	P-hsa03320-57	PPAR signaling pathway: APOC3	345	APOC3	APOC3	APOC3
hsa03320	P-hsa03320-64	PPAR signaling pathway: APOA5	5465	PPARA	NA	NA
hsa03320	P-hsa03320-64	PPAR signaling pathway: APOA5	6256	RXRA	NA	NA
hsa03320	P-hsa03320-64	PPAR signaling pathway: APOA5	6257	RXRB	NA	NA
hsa03320	P-hsa03320-64	PPAR signaling pathway: APOA5	6258	RXRG	NA	NA
hsa03320	P-hsa03320-64	PPAR signaling pathway: APOA5	116519	APOA5	APOA5	APOA5
hsa03320	P-hsa03320-47	PPAR signaling pathway: PLTP	5465	PPARA	NA	NA
hsa03320	P-hsa03320-47	PPAR signaling pathway: PLTP	6256	RXRA	NA	NA
hsa03320	P-hsa03320-47	PPAR signaling pathway: PLTP	6257	RXRB	NA	NA
hsa03320	P-hsa03320-47	PPAR signaling pathway: PLTP	6258	RXRG	NA	NA
hsa03320	P-hsa03320-47	PPAR signaling pathway: PLTP	5360	PLTP	PLTP	PLTP
hsa03320	P-hsa03320-65	PPAR signaling pathway: ME1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-65	PPAR signaling pathway: ME1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-65	PPAR signaling pathway: ME1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-65	PPAR signaling pathway: ME1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-65	PPAR signaling pathway: ME1	4199	ME1	ME1	ME1
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	5465	PPARA	NA	NA
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	6256	RXRA	NA	NA
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	6257	RXRB	NA	NA
