gene	DB_symbol	regulation	GeneType	ONG_Alias	ONG_Links	ONG_Cytoband	ONG_FullName	TSG_Alias	TSG_Links	TSG_Chromosome	TSG_Cytoband	TSG_FullName
10221	TRIB1	ONG	protein-coding	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	MIM:609461|HGNC:HGNC:16891|Ensembl:ENSG00000173334|HPRD:09863|Vega:OTTHUMG00000165007	8q24.13	tribbles pseudokinase 1	NA	NA	NA	NA	NA
7295	TXN	ONG	protein-coding	TRDX|TRX|TRX1	MIM:187700|HGNC:HGNC:12435|Ensembl:ENSG00000136810|HPRD:01761|Vega:OTTHUMG00000020480	9q31	thioredoxin	NA	NA	NA	NA	NA
867	CBL	both	protein-coding	C-CBL|CBL2|FRA11B|NSLL|RNF55	MIM:165360|HGNC:HGNC:1541|Ensembl:ENSG00000110395|HPRD:01320|Vega:OTTHUMG00000166170	11q23.3	Cbl proto-oncogene, E3 ubiquitin protein ligase	C-CBL|CBL2|FRA11B|NSLL|RNF55	MIM:165360|HGNC:HGNC:1541|Ensembl:ENSG00000110395|HPRD:01320|Vega:OTTHUMG00000166170	11	11q23.3	Cbl proto-oncogene, E3 ubiquitin protein ligase
673	BRAF	ONG	protein-coding	B-RAF1|BRAF1|NS7|RAFB1	MIM:164757|HGNC:HGNC:1097|Ensembl:ENSG00000157764|HPRD:01264|Vega:OTTHUMG00000157457	7q34	B-Raf proto-oncogene, serine/threonine kinase	NA	NA	NA	NA	NA
5979	RET	ONG	protein-coding	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51	MIM:164761|HGNC:HGNC:9967|Ensembl:ENSG00000165731|HPRD:01266|Vega:OTTHUMG00000018024	10q11.2	ret proto-oncogene	NA	NA	NA	NA	NA
596	BCL2	ONG	protein-coding	Bcl-2|PPP1R50	MIM:151430|HGNC:HGNC:990|HPRD:01045	18q21.3	B-cell CLL/lymphoma 2	NA	NA	NA	NA	NA
5290	PIK3CA	ONG	protein-coding	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	MIM:171834|HGNC:HGNC:8975|Ensembl:ENSG00000121879|HPRD:01382|Vega:OTTHUMG00000157311	3q26.3	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	NA	NA	NA	NA	NA
5156	PDGFRA	ONG	protein-coding	CD140A|GAS9|PDGFR-2|PDGFR2|RHEPDGFRA	MIM:173490|HGNC:HGNC:8803|Ensembl:ENSG00000134853|HPRD:01429|Vega:OTTHUMG00000128699	4q12	platelet derived growth factor receptor alpha	NA	NA	NA	NA	NA
4893	NRAS	ONG	protein-coding	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	MIM:164790|HGNC:HGNC:7989|Ensembl:ENSG00000213281|HPRD:01273|Vega:OTTHUMG00000012059	1p13.2	neuroblastoma RAS viral (v-ras) oncogene homolog	NA	NA	NA	NA	NA
4233	MET	ONG	protein-coding	AUTS9|DFNB97|HGFR|RCCP2|c-Met	MIM:164860|HGNC:HGNC:7029|Ensembl:ENSG00000105976|HPRD:01280|Vega:OTTHUMG00000023299	7q31	MET proto-oncogene, receptor tyrosine kinase	NA	NA	NA	NA	NA
