PPAR signaling pathway	hsa03320
MAPK signaling pathway	hsa04010
ErbB signaling pathway	hsa04012
Ras signaling pathway	hsa04014
Rap1 signaling pathway	hsa04015
Calcium signaling pathway	hsa04020
cGMP-PKG signaling pathway	hsa04022
cAMP signaling pathway	hsa04024
Chemokine signaling pathway	hsa04062
NF-kappa B signaling pathway	hsa04064
HIF-1 signaling pathway	hsa04066
FoxO signaling pathway	hsa04068
Sphingolipid signaling pathway	hsa04071
Phospholipase D signaling pathway	hsa04072
Cell cycle	hsa04110
p53 signaling pathway	hsa04115
mTOR signaling pathway	hsa04150
PI3K-Akt signaling pathway	hsa04151
AMPK signaling pathway	hsa04152
Apoptosis	hsa04210
Longevity regulating pathway - mammal	hsa04211
Vascular smooth muscle contraction	hsa04270
Wnt signaling pathway	hsa04310
Notch signaling pathway	hsa04330
Hedgehog signaling pathway	hsa04340
TGF-beta signaling pathway	hsa04350
Axon guidance	hsa04360
VEGF signaling pathway	hsa04370
Hippo signaling pathway	hsa04390
Focal adhesion	hsa04510
Adherens junction	hsa04520
Tight junction	hsa04530
Gap junction	hsa04540
Signaling pathways regulating pluripotency of stem cells	hsa04550
Complement and coagulation cascades	hsa04610
Platelet activation	hsa04611
Antigen processing and presentation	hsa04612
Toll-like receptor signaling pathway	hsa04620
NOD-like receptor signaling pathway	hsa04621
RIG-I-like receptor signaling pathway	hsa04622
Cytosolic DNA-sensing pathway	hsa04623
Jak-STAT signaling pathway	hsa04630
Natural killer cell mediated cytotoxicity	hsa04650
T cell receptor signaling pathway	hsa04660
B cell receptor signaling pathway	hsa04662
Fc epsilon RI signaling pathway	hsa04664
Fc gamma R-mediated phagocytosis	hsa04666
TNF signaling pathway	hsa04668
Leukocyte transendothelial migration	hsa04670
Circadian rhythm	hsa04710
Circadian entrainment	hsa04713
Neurotrophin signaling pathway	hsa04722
Retrograde endocannabinoid signaling	hsa04723
Glutamatergic synapse	hsa04724
Cholinergic synapse	hsa04725
Serotonergic synapse	hsa04726
GABAergic synapse	hsa04727
Dopaminergic synapse	hsa04728
Inflammatory mediator regulation of TRP channels	hsa04750
Regulation of actin cytoskeleton	hsa04810
Insulin signaling pathway	hsa04910
Insulin secretion	hsa04911
GnRH signaling pathway	hsa04912
Ovarian steroidogenesis	hsa04913
Progesterone-mediated oocyte maturation	hsa04914
Estrogen signaling pathway	hsa04915
Melanogenesis	hsa04916
Prolactin signaling pathway	hsa04917
Thyroid hormone synthesis	hsa04918
Thyroid hormone signaling pathway	hsa04919
Adipocytokine signaling pathway	hsa04920
Oxytocin signaling pathway	hsa04921
Glucagon signaling pathway	hsa04922
Regulation of lipolysis in adipocytes	hsa04923
Aldosterone synthesis and secretion	hsa04925
Aldosterone-regulated sodium reabsorption	hsa04960
Endocrine and other factor-regulated calcium reabsorption	hsa04961
Vasopressin-regulated water reabsorption	hsa04962
Carbohydrate digestion and absorption	hsa04973
