gene_id	TF	symbol	TF_id
1	RXRA	A1BG	6256
79777	RXRA	ACBD4	6256
11093	RXRA	ADAMTS13	6256
133	RXRA	ADM	6256
116519	RXRA	APOA5	6256
10139	RXRA	ARFRP1	6256
411	RXRA	ARSB	6256
90423	RXRA	ATP6V1E2	6256
23621	RXRA	BACE1	6256
10134	RXRA	BCAP31	6256
10295	RXRA	BCKDK	6256
25798	RXRA	BRI3	6256
842	RXRA	CASP9	6256
6359	RXRA	CCL15	6256
6364	RXRA	CCL20	6256
7203	RXRA	CCT3	6256
1153	RXRA	CIRBP	6256
9075	RXRA	CLDN2	6256
4848	RXRA	CNOT2	6256
1431	RXRA	CS	6256
196993	RXRA	CT62	6256
1592	RXRA	CYP26A1	6256
23341	RXRA	DNAJC16	6256
1942	RXRA	EFNA1	6256
84034	RXRA	EMILIN2	6256
55556	RXRA	ENOSF1	6256
2168	RXRA	FABP1	6256
2194	RXRA	FASN	6256
26998	RXRA	FETUB	6256
10211	RXRA	FLOT1	6256
114984	RXRA	FLYWCH2	6256
2527	RXRA	FUT5	6256
2538	RXRA	G6PC	6256
2561	RXRA	GABRB2	6256
2735	RXRA	GLI1	6256
388323	RXRA	GLTPD2	6256
83729	RXRA	INHBE	6256
3783	RXRA	KCNN4	6256
23135	RXRA	KDM6B	6256
80131	RXRA	LRRC8E	6256
4054	RXRA	LTBP3	6256
4153	RXRA	MBL2	6256
4192	RXRA	MDK	6256
92312	RXRA	MEX3A	6256
10227	RXRA	MFSD10	6256
4600	RXRA	MX2	6256
342977	RXRA	NANOS3	6256
57447	RXRA	NDRG2	6256
4739	RXRA	NEDD9	6256
4782	RXRA	NFIC	6256
79159	RXRA	NOL12	6256
23117	RXRA	NPIPB3	6256
9572	RXRA	NR1D1	6256
4901	RXRA	NRL	6256
56957	RXRA	OTUD7B	6256
5105	RXRA	PCK1	6256
5106	RXRA	PCK2	6256
157310	RXRA	PEBP4	6256
55650	RXRA	PIGV	6256
84271	RXRA	POLDIP3	6256
5902	RXRA	RANBP1	6256
55147	RXRA	RBM23	6256
57109	RXRA	REXO4	6256
6097	RXRA	RORC	6256
6202	RXRA	RPS8	6256
862	RXRA	RUNX1T1	6256
80274	RXRA	SCUBE1	6256
57410	RXRA	SCYL1	6256
6498	RXRA	SKIL	6256
284111	RXRA	SLC13A5	6256
6574	RXRA	SLC20A1	6256
57210	RXRA	SLC45A4	6256
200931	RXRA	SLC51A	6256
123264	RXRA	SLC51B	6256
6603	RXRA	SMARCD2	6256
23293	RXRA	SMG6	6256
26206	RXRA	SPAG8	6256
6690	RXRA	SPINK1	6256
8878	RXRA	SQSTM1	6256
6720	RXRA	SREBF1	6256
9747	RXRA	TCAF1	6256
7064	RXRA	THOP1	6256
79875	RXRA	THSD4	6256
51754	RXRA	TMEM8B	6256
84629	RXRA	TNRC18	6256
55621	RXRA	TRMT1	6256
27037	RXRA	TRMT2A	6256
54795	RXRA	TRPM4	6256
145567	RXRA	TTC7B	6256
7411	RXRA	VBP1	6256
284013	RXRA	VMO1	6256
55884	RXRA	WSB2	6256
51043	RXRA	ZBTB7B	6256
131540	RXRA	ZDHHC19	6256
84619	RXRA	ZGPAT	6256
7764	RXRA	ZNF217	6256
155061	RXRA	ZNF746	6256
8882	RXRA	ZPR1	6256
2	SRF	A2M	6722
28971	SRF	AAMDC	6722
25980	SRF	AAR2	6722
23456	SRF	ABCB10	6722
1238	SRF	ACKR2	6722
641371	SRF	ACOT1	6722
10965	SRF	ACOT2	6722
197322	SRF	ACSF3	6722
58	SRF	ACTA1	6722
60	SRF	ACTB	6722
71	SRF	ACTG1	6722
87	SRF	ACTN1	6722
133	SRF	ADM	6722
83440	SRF	ADPGK	6722
23382	SRF	AHCYL2	6722
9255	SRF	AIMP1	6722
11216	SRF	AKAP10	6722
9590	SRF	AKAP12	6722
441282	SRF	AKR1B15	6722
211	SRF	ALAS1	6722
219	SRF	ALDH1B1	6722
10840	SRF	ALDH1L1	6722
144245	SRF	ALG10B	6722
25906	SRF	ANAPC15	6722
83854	SRF	ANGPTL6	6722
306	SRF	ANXA3	6722
164	SRF	AP1G1	6722
26985	SRF	AP3M1	6722
51074	SRF	APIP	6722
23237	SRF	ARC	6722
58504	SRF	ARHGAP22	6722
23092	SRF	ARHGAP26	6722
10620	SRF	ARID3B	6722
10093	SRF	ARPC4	6722
100526693	SRF	ARPC4-TTLL3	6722
51676	SRF	ASB2	6722
1386	SRF	ATF2	6722
55729	SRF	ATF7IP	6722
60673	SRF	ATG101	6722
533	SRF	ATP6V0B	6722
6310	SRF	ATXN1	6722
8704	SRF	B4GALT2	6722
54971	SRF	BANP	6722
116071	SRF	BATF2	6722
9564	SRF	BCAR1	6722
8915	SRF	BCL10	6722
83596	SRF	BCL2L12	6722
55814	SRF	BDP1	6722
10282	SRF	BET1	6722
51283	SRF	BFAR	6722
112401	SRF	BIRC8	6722
26258	SRF	BLOC1S6	6722
64776	SRF	C11orf1	6722
728568	SRF	C12orf73	6722
56905	SRF	C15orf39	6722
25912	SRF	C1orf43	6722
153571	SRF	C5orf38	6722
101928448	SRF	C5orf67	6722
51759	SRF	C9orf78	6722
761	SRF	CA3	6722
23523	SRF	CABIN1	6722
800	SRF	CALD1	6722
23125	SRF	CAMTA2	6722
11132	SRF	CAPN10	6722
92291	SRF	CAPN13	6722
4076	SRF	CAPRIN1	6722
79800	SRF	CARF	6722
64921	SRF	CASD1	6722
831	SRF	CAST	6722
147372	SRF	CCBE1	6722
388389	SRF	CCDC103	6722
150275	SRF	CCDC117	6722
115098	SRF	CCDC124	6722
90693	SRF	CCDC126	6722
29080	SRF	CCDC59	6722
64925	SRF	CCDC71	6722
890	SRF	CCNA2	6722
57820	SRF	CCNB1IP1	6722
8812	SRF	CCNK	6722
10693	SRF	CCT6B	6722
10574	SRF	CCT7	6722
57124	SRF	CD248	6722
80381	SRF	CD276	6722
952	SRF	CD38	6722
975	SRF	CD81	6722
8555	SRF	CDC14B	6722
1026	SRF	CDKN1A	6722
55602	SRF	CDKN2AIP	6722
90273	SRF	CEACAM21	6722
1048	SRF	CEACAM5	6722
387103	SRF	CENPW	6722
91012	SRF	CERS5	6722
1072	SRF	CFL1	6722
57132	SRF	CHMP1B	6722
128866	SRF	CHMP4B	6722
1185	SRF	CLCN6	6722
9022	SRF	CLIC3	6722
81570	SRF	CLPB	6722
1211	SRF	CLTA	6722
23070	SRF	CMTR1	6722
1264	SRF	CNN1	6722
1265	SRF	CNN2	6722
23019	SRF	CNOT1	6722
29883	SRF	CNOT7	6722
55744	SRF	COA1	6722
54951	SRF	COMMD8	6722
51138	SRF	COPS4	6722
51241	SRF	COX16	6722
90639	SRF	COX19	6722
116228	SRF	COX20	6722
55313	SRF	CPPED1	6722
10488	SRF	CREB3	6722
1431	SRF	CS	6722
1465	SRF	CSRP1	6722
1476	SRF	CSTB	6722
58190	SRF	CTDSP1	6722
56998	SRF	CTNNBIP1	6722
1500	SRF	CTNND1	6722
3577	SRF	CXCR1	6722
147906	SRF	DACT3	6722
196513	SRF	DCP1B	6722
10671	SRF	DCTN6	6722
23576	SRF	DDAH1	6722
220042	SRF	DDIAS	6722
8886	SRF	DDX18	6722
22898	SRF	DENND3	6722
1725	SRF	DHPS	6722
1738	SRF	DLD	6722
150353	SRF	DNAJB7	6722
202052	SRF	DNAJC18	6722
548645	SRF	DNAJC25	6722
552891	SRF	DNAJC25-GNG10	6722
84277	SRF	DNAJC30	6722
7266	SRF	DNAJC7	6722
1785	SRF	DNM2	6722
1841	SRF	DTYMK	6722
1847	SRF	DUSP5	6722
1856	SRF	DVL2	6722
1857	SRF	DVL3	6722
253738	SRF	EBF3	6722
1944	SRF	EFNA3	6722
9343	SRF	EFTUD2	6722
1958	SRF	EGR1	6722
1959	SRF	EGR2	6722
1960	SRF	EGR3	6722
1961	SRF	EGR4	6722
1967	SRF	EIF2B1	6722
8894	SRF	EIF2S2	6722
3692	SRF	EIF6	6722
22936	SRF	ELL2	6722
10436	SRF	EMG1	6722
27436	SRF	EML4	6722
2027	SRF	ENO3	6722
5169	SRF	ENPP3	6722
957	SRF	ENTPD5	6722
285203	SRF	EOGT	6722
55780	SRF	ERMARD	6722
2086	SRF	ERV3-1	6722
2120	SRF	ETV6	6722
55770	SRF	EXOC2	6722
5393	SRF	EXOSC9	6722
83641	SRF	FAM107B	6722
92689	SRF	FAM114A1	6722
55007	SRF	FAM118A	6722
283635	SRF	FAM177A1	6722
440585	SRF	FAM183A	6722
100528020	SRF	FAM187A	6722
285550	SRF	FAM200B	6722
375190	SRF	FAM228B	6722
26017	SRF	FAM32A	6722
60343	SRF	FAM3A	6722
51307	SRF	FAM53C	6722
84691	SRF	FAM71F1	6722
145773	SRF	FAM81A	6722
54854	SRF	FAM83E	6722
85002	SRF	FAM86B1	6722
653333	SRF	FAM86B2	6722
22909	SRF	FAN1	6722
54751	SRF	FBLIM1	6722
54620	SRF	FBXL19	6722
200933	SRF	FBXO45	6722
23403	SRF	FBXO46	6722
55294	SRF	FBXW7	6722
84261	SRF	FBXW9	6722
2222	SRF	FDFT1	6722
91893	SRF	FDXACB1	6722
2232	SRF	FDXR	6722
56929	SRF	FEM1C	6722
10979	SRF	FERMT2	6722
2253	SRF	FGF8	6722
2274	SRF	FHL2	6722
11259	SRF	FILIP1L	6722
2316	SRF	FLNA	6722
2352	SRF	FOLR3	6722
2353	SRF	FOS	6722
2354	SRF	FOSB	6722
8061	SRF	FOSL1	6722
2300	SRF	FOXL1	6722
27086	SRF	FOXP1	6722
10841	SRF	FTCD	6722
8939	SRF	FUBP3	6722
7855	SRF	FZD5	6722
11345	SRF	GABARAPL2	6722
10912	SRF	GADD45G	6722
2628	SRF	GATM	6722
2633	SRF	GBP1	6722
2634	SRF	GBP2	6722
2650	SRF	GCNT1	6722
50628	SRF	GEMIN4	6722
79760	SRF	GEMIN7	6722
27069	SRF	GHITM	6722
79411	SRF	GLB1L	6722
11010	SRF	GLIPR1	6722
152007	SRF	GLIPR2	6722
